FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,operateur,geometry,lon,lat,operateur_clean,zone
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-84e,Plateaux,Akébou,Akébou 1,Kougnohou,"Moov, Togocom",POINT (0.7927343016067647 7.659594648510413),0.7927343016067647,7.659594648510413,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-84d,Plateaux,Agou,Agou 1,Gadja,Togocom,POINT (0.7951376210056958 6.795962861961568),0.7951376210056958,6.795962861961568,Togocom,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-84c,Centrale,Sotouboua,Sotouboua 2,Adjengré,"Moov, Togocom",POINT (1.0189266666666665 8.659713333333334),1.0189266666666665,8.659713333333334,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-84b,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,"Moov, Togocom",POINT (0.7296478463250441 7.135160931227396),0.7296478463250441,7.135160931227396,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-84a,Centrale,Blitta,Blitta 1,Blitta,"Moov, Togocom",POINT (0.9791913453140876 8.31801113262945),0.9791913453140876,8.31801113262945,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-849,Plateaux,Agou,Agou 1,Gadja,"Moov, Togocom",POINT (0.7955966666666666 6.796653333333334),0.7955966666666666,6.796653333333334,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-848,Centrale,Blitta,Blitta 1,Blitta,"Moov, Togocom",POINT (0.9853666666666666 8.326341666666668),0.9853666666666666,8.326341666666668,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-847,Plateaux,Akébou,Akébou 1,Kougnohou,Togocom,POINT (0.7940783333333333 7.657778333333333),0.7940783333333333,7.657778333333333,Togocom,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-846,Plateaux,Kloto,Kloto 3,Kouma,Togocom,POINT (0.5947250000000001 6.98507),0.5947250000000001,6.98507,Togocom,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-845,Plateaux,Agou,Agou 1,Gadja,"Moov, Togocom",POINT (0.795506429311406 6.796519303034287),0.795506429311406,6.796519303034287,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-844,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,Nsp,POINT (1.2652766666666668 7.94871),1.2652766666666668,7.94871,Inconnu,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-843,Plateaux,Kloto,Kloto 3,Kouma,Togocom,POINT (0.5943566666666666 6.985424999999999),0.5943566666666666,6.985424999999999,Togocom,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-842,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,"Moov, Togocom",POINT (0.7303954655486415 7.136350100547707),0.7303954655486415,7.136350100547707,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-841,Plateaux,Kloto,Kloto 2,Kpimé,"Moov, Togocom",POINT (0.6381783333333334 7.093231666666666),0.6381783333333334,7.093231666666666,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-840,Plateaux,Agou,Agou 1,Gadja,"Moov, Togocom",POINT (0.7939916666666667 6.7950083333333335),0.7939916666666667,6.7950083333333335,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-83f,Plateaux,Kloto,Kloto 2,Kpimé,"Moov, Togocom",POINT (0.6380833333333332 7.093421666666668),0.6380833333333332,7.093421666666668,"Moov, Togocom",Intérieur
